Rank,Geographic Area,"April 1, 2020Estimates Base",2020,2021,2022,Population 2023
1168,"Manitowoc city, Wisconsin","34,637","34,633","34,649","34,572","34,568"
1169,"Holland city, Michigan","34,374","34,352","34,197","34,026","34,540"
1170,"Dalton city, Georgia","34,457","34,421","34,223","34,366","34,508"
1171,"Randolph Town city, Massachusetts","34,973","34,914","34,711","34,561","34,487"
1172,"Clearfield city, Utah","31,903","31,913","32,236","34,032","34,470"
1173,"Helena city, Montana","32,101","32,244","33,080","33,875","34,464"
1174,"Statesboro city, Georgia","33,434","33,475","33,298","34,354","34,452"
1175,"McMinnville city, Oregon","34,337","34,473","34,750","34,577","34,450"
1176,"Harker Heights city, Texas","33,096","33,242","33,619","34,128","34,447"
1177,"Kearney city, Nebraska","33,798","33,879","33,979","34,257","34,362"
1178,"Calumet City city, Illinois","36,045","35,902","35,227","34,633","34,358"
1179,"Goshen city, Indiana","34,505","34,496","34,437","34,368","34,355"
1180,"West Hollywood city, California","35,761","35,646","35,002","34,591","34,349"
1181,"Cooper City city, Florida","34,400","34,334","34,050","34,107","34,321"
1182,"Englewood city, Colorado","33,642","33,623","33,662","33,662","34,275"
1183,"College Park city, Maryland","34,749","34,698","34,502","34,186","34,187"
1184,"Lufkin city, Texas","34,117","34,071","34,153","34,164","34,181"
1185,"Alabaster city, Alabama","33,334","33,392","33,748","33,869","34,107"
1186,"University City city, Missouri","35,066","35,002","34,735","34,375","34,096"
1187,"Leawood city, Kansas","33,897","33,890","33,805","33,713","33,980"
1188,"Northbrook village, Illinois","35,222","35,105","34,560","34,102","33,977"
1189,"Westlake city, Ohio","34,238","34,198","33,980","33,903","33,972"
1190,"Stow city, Ohio","34,491","34,460","34,383","34,210","33,957"
1191,"Washington city, Utah","27,992","28,636","30,986","32,707","33,877"
1192,"Pleasant Hill city, California","34,628","34,604","34,405","34,034","33,802"
1193,"Eastpointe city, Michigan","34,322","34,234","34,092","33,810","33,676"
1194,"Fort Mill town, South Carolina","24,514","25,188","27,939","30,900","33,626"
1195,"Chester city, Pennsylvania","32,611","32,580","33,574","33,512","33,595"
1196,"Opelika city, Alabama","31,014","31,079","31,594","32,771","33,572"
1197,"Woodridge village, Illinois","34,147","34,110","33,865","33,616","33,566"
1198,"Meridian city, Mississippi","35,050","34,867","34,412","33,907","33,551"
1199,"Rochester city, New Hampshire","32,496","32,517","32,904","33,126","33,519"
1200,"Gillette city, Wyoming","33,412","33,481","32,989","33,278","33,496"
1201,"Dover city, New Hampshire","32,744","32,776","33,271","33,375","33,485"
1202,"Goldsboro city, North Carolina","33,657","33,546","33,256","33,123","33,469"
1203,"Desert Hot Springs city, California","32,500","32,523","32,871","33,098","33,438"
1204,"Oak Ridge city, Tennessee","31,401","31,455","31,852","32,612","33,397"
1205,"Manhattan Beach city, California","35,503","35,383","34,582","33,891","33,369"
1206,"Walla Walla city, Washington","34,188","34,186","33,747","33,491","33,339"
1207,"Petersburg city, Virginia","33,463","33,396","33,411","33,462","33,309"
1208,"Gadsden city, Alabama","33,928","33,880","33,541","33,276","33,229"
1209,"Deer Park city, Texas","34,495","34,357","33,727","33,469","33,176"
1210,"Salisbury city, Maryland","33,041","33,022","33,164","33,165","33,159"
1211,"Cornelius town, North Carolina","31,415","31,517","31,719","32,604","33,139"
1212,"Franklin Town city, Massachusetts","33,272","33,224","32,785","33,062","33,125"
1213,"Sherwood city, Arkansas","32,762","32,806","33,032","33,071","33,118"
1214,"San Dimas city, California","34,912","34,797","34,095","33,527","33,105"
1215,"Andover city, Minnesota","32,596","32,655","32,963","32,946","33,089"
1216,"Savage city, Minnesota","32,458","32,582","33,027","32,900","32,999"
1217,"Elizabethtown city, Kentucky","31,390","31,408","31,943","31,883","32,978"
1218,"Spring Valley village, New York","33,047","32,958","33,087","33,012","32,969"
1219,"Aiken city, South Carolina","32,108","32,139","32,282","32,512","32,947"
1220,"Kaysville city, Utah","32,955","33,022","33,078","32,765","32,941"
1221,"Florence city, Kentucky","31,954","32,060","32,331","32,603","32,917"
1222,"Pullman city, Washington","32,905","32,855","28,171","32,465","32,863"
1223,"Long Branch city, New Jersey","31,660","31,670","32,443","32,424","32,745"
1224,"Ithaca city, New York","32,110","30,177","32,765","32,852","32,724"
1225,"Greenville city, Texas","28,149","28,288","29,580","31,098","32,717"
1226,"Goleta city, California","32,695","32,764","32,738","32,585","32,665"
1227,"New Smyrna Beach city, Florida","30,210","30,413","31,136","32,136","32,655"
1228,"St. Charles city, Illinois","33,076","33,034","33,038","32,747","32,654"
1229,"Dana Point city, California","33,103","33,057","32,815","32,647","32,567"
1230,"Zionsville town, Indiana","30,604","30,837","31,711","32,047","32,534"
1231,"Garfield city, New Jersey","32,649","32,555","32,510","32,368","32,456"
1232,"Massillon city, Ohio","32,046","32,052","32,148","32,249","32,439"
1233,"Maryville city, Tennessee","31,912","32,003","32,303","32,681","32,436"
1234,"Nicholasville city, Kentucky","31,115","31,137","31,530","31,954","32,425"
1235,"Glendale Heights village, Illinois","33,183","33,103","32,810","32,513","32,409"
1236,"Bethel Park municipality, Pennsylvania","33,567","33,515","33,173","32,761","32,398"
1237,"Bella Vista city, Arkansas","30,076","30,209","30,750","31,712","32,368"
1238,"Duluth city, Georgia","31,872","31,872","31,890","32,052","32,350"
1239,"LaGrange city, Georgia","30,866","30,916","31,518","31,808","32,343"
1240,"Eagle city, Idaho","30,408","30,870","32,096","32,423","32,319"
1241,"Sachse city, Texas","27,113","27,086","29,025","30,567","32,294"
1242,"Fitchburg city, Wisconsin","30,990","30,996","31,951","32,119","32,284"
1243,"Brownsburg town, Indiana","29,026","29,181","30,220","31,316","32,250"
1244,"New Bern city, North Carolina","31,287","31,283","31,518","31,516","32,226"
1245,"Los Gatos town, California","33,540","33,415","32,571","32,213","32,216"
1246,"Cottonwood Heights city, Utah","33,612","33,518","32,910","32,478","32,204"
1247,"Foster City city, California","33,806","33,733","32,735","32,299","32,180"
1248,"Nacogdoches city, Texas","32,132","32,092","32,048","32,049","32,156"
1249,"Laramie city, Wyoming","31,405","31,423","31,986","32,181","32,152"
1250,"McDonough city, Georgia","29,058","29,327","29,913","30,346","32,138"
1251,"Morristown city, Tennessee","30,448","30,480","30,547","31,423","32,099"
1252,"Bay City city, Michigan","32,659","32,611","32,445","32,208","32,082"
1253,"Sanford city, North Carolina","30,193","30,267","30,605","31,274","32,064"
1254,"Atwater city, California","31,966","31,931","32,166","32,219","32,052"
1255,"Des Moines city, Washington","32,915","32,887","32,834","32,426","31,988"
1256,"O'Fallon city, Illinois","32,327","32,307","32,280","32,081","31,968"
1257,"Dania Beach city, Florida","31,773","31,728","31,520","31,655","31,915"
1258,"West Bend city, Wisconsin","31,739","31,706","31,666","31,623","31,886"
1259,"Bell city, California","33,562","33,449","32,736","32,199","31,864"
1260,"Fairbanks city, Alaska","32,512","32,401","32,175","31,994","31,856"
1261,"Chamblee city, Georgia","30,148","30,211","29,841","29,830","31,841"
1262,"Naugatuck borough, Connecticut","31,580","31,492","31,616","31,677","31,820"
1263,"Wheat Ridge city, Colorado","32,399","32,379","32,326","31,852","31,804"
1264,"Shawnee city, Oklahoma","31,281","31,319","31,557","31,640","31,803"
1265,"SeaTac city, Washington","31,437","31,384","30,915","30,513","31,799"
1266,"Santa Paula city, California","30,674","30,773","31,170","31,414","31,792"
1267,"Mundelein village, Illinois","31,573","31,533","31,586","31,645","31,790"
1268,"Poughkeepsie city, New York","31,591","31,564","32,041","31,946","31,772"
1269,"Houma city, Louisiana","33,408","33,342","33,131","32,096","31,733"
1270,"Leesburg city, Florida","26,998","27,111","27,919","29,173","31,721"
1271,"Morrisville town, North Carolina","29,631","29,892","31,240","31,389","31,703"
1272,"Menlo Park city, California","33,784","33,690","32,566","31,955","31,690"
1273,"Brooklyn Center city, Minnesota","33,780","33,656","32,912","32,225","31,688"
1274,"Banning city, California","29,522","29,826","30,822","31,220","31,680"
1275,"Michigan City city, Indiana","32,060","32,010","32,050","31,833","31,659"
1276,"Rome city, New York","32,115","31,878","31,698","31,686","31,652"
1277,"Waukee city, Iowa","23,961","24,380","26,501","29,181","31,645"
1278,"Bangor city, Maine","31,739","31,720","31,508","31,611","31,628"
1279,"Juneau city and borough, Alaska","32,256","32,209","31,979","31,740","31,555"
1280,"North Olmsted city, Ohio","32,439","32,378","32,061","31,718","31,538"
1281,"Carlsbad city, New Mexico","32,237","32,282","31,850","31,511","31,499"
1282,"Elk Grove Village village, Illinois","32,825","32,701","32,112","31,596","31,350"
1283,"Seaside city, California","32,384","32,335","32,037","31,488","31,317"
1284,"Alamogordo city, New Mexico","30,927","30,936","31,188","31,167","31,284"
1285,"San Pablo city, California","32,120","32,089","31,883","31,514","31,249"
1286,"Miami Lakes town, Florida","30,458","30,436","30,454","30,811","31,238"
1287,"Southlake city, Texas","31,273","31,263","31,125","31,119","31,137"
1288,"El Paso de Robles (Paso Robles) city, California","31,493","31,484","31,534","31,316","31,134"
1289,"Pekin city, Illinois","31,748","31,681","31,471","31,191","31,126"
1290,"Northport city, Alabama","31,194","31,202","31,093","31,023","31,111"
1291,"Lawrenceville city, Georgia","30,679","30,588","30,338","30,638","31,015"
1292,"Beverly Hills city, California","32,699","32,578","31,881","31,350","30,974"
1293,"North Attleborough Town city, Massachusetts","30,831","30,826","30,908","30,910","30,943"
1294,"Matthews town, North Carolina","29,428","29,520","29,600","30,451","30,934"
1295,"Athens city, Alabama","25,411","25,707","27,073","28,642","30,904"
1296,"Jackson city, Michigan","31,317","31,309","31,196","30,974","30,854"
1297,"Hopkinsville city, Kentucky","31,175","31,174","31,006","30,913","30,813"
1298,"Liberty city, Missouri","30,161","30,227","30,335","30,769","30,794"
1299,"Harrison village, New York","28,215","28,155","29,688","29,570","30,780"
1300,"Bixby city, Oklahoma","28,619","28,742","29,203","29,786","30,698"
1301,"North Royalton city, Ohio","31,331","31,287","31,041","30,792","30,687"
1302,"Casselberry city, Florida","28,782","28,946","29,124","29,890","30,595"
1303,"Port Chester village, New York","31,751","31,576","31,323","30,869","30,584"
1304,"Westfield town, New Jersey","31,038","30,895","30,836","30,583","30,559"
1305,"Leland town, North Carolina","23,358","23,863","26,019","28,540","30,542"
1306,"Paragould city, Arkansas","29,546","29,656","30,027","30,154","30,520"
1307,"Lafayette city, Colorado","30,409","30,433","30,730","30,750","30,439"
1308,"Morgantown city, West Virginia","30,194","30,187","30,289","30,323","30,429"
1309,"North Chicago city, Illinois","30,757","30,712","30,649","30,517","30,416"
1310,"Ballwin city, Missouri","31,169","31,139","30,926","30,631","30,410"
1311,"Bowling Green city, Ohio","30,799","30,793","28,564","29,655","30,384"
1312,"Daphne city, Alabama","27,463","27,682","28,748","29,667","30,321"
1312,"Converse city, Texas","27,709","27,860","28,690","29,611","30,321"
1314,"Holladay city, Utah","31,961","31,865","31,393","30,806","30,298"
1315,"Princeton, New Jersey","30,676","30,610","30,534","30,306","30,289"
1316,"Highland Park city, Illinois","30,188","30,155","30,200","30,194","30,272"
1317,"Enterprise city, Alabama","28,697","28,834","29,398","29,784","30,271"
1318,"Laguna Hills city, California","31,369","31,311","30,968","30,591","30,243"
1319,"Statesville city, North Carolina","28,461","28,596","29,191","29,693","30,220"
1320,"Clayton town, North Carolina","26,317","26,693","28,368","29,439","30,216"
1321,"Gurnee village, Illinois","30,715","30,654","30,549","30,339","30,193"
1322,"Newark city, Delaware","30,619","30,599","29,876","30,136","30,169"
1323,"Fridley city, Minnesota","29,578","29,576","30,378","30,301","30,156"
1324,"Lawndale city, California","31,826","31,734","31,074","30,531","30,155"
1325,"Middletown city, New York","30,341","30,279","30,428","30,263","30,152"
1326,"Algonquin village, Illinois","29,707","29,676","29,969","29,936","30,134"
1327,"Magna metro township, Utah","29,251","29,261","29,245","29,650","30,087"
1328,"Hazleton city, Pennsylvania","29,937","29,912","30,052","30,006","30,037"
1329,"North Tonawanda city, New York","30,495","30,433","30,399","30,180","30,031"
1330,"Los Altos city, California","31,467","31,350","30,567","30,151","29,990"
1331,"Anderson city, South Carolina","29,456","29,476","29,561","29,785","29,980"
1332,"Gloucester city, Massachusetts","29,731","29,743","29,971","29,833","29,959"
1333,"Burlingame city, California","31,386","31,278","30,200","29,822","29,910"
1334,"La Verne city, California","31,582","31,472","30,802","30,274","29,898"
1335,"Winter Park city, Florida","29,805","30,018","29,783","29,922","29,894"
1336,"Kalispell city, Montana","24,737","24,924","26,478","28,611","29,886"
1337,"Rahway city, New Jersey","29,551","29,671","29,971","29,670","29,813"
1338,"Central city, Louisiana","29,563","29,559","29,591","29,698","29,781"
1339,"Atascadero city, California","29,776","29,744","29,761","29,665","29,700"
1340,"Schererville town, Indiana","29,659","29,661","29,718","29,667","29,657"
1341,"Englewood city, New Jersey","29,310","29,231","29,159","29,568","29,624"
1342,"Saratoga city, California","31,041","30,913","30,112","29,727","29,607"
1343,"Pooler city, Georgia","25,610","25,676","27,004","28,740","29,544"
1344,"Easton city, Pennsylvania","28,128","28,084","30,200","29,571","29,538"
1345,"Niles village, Illinois","30,909","30,791","30,228","29,743","29,513"
1346,"Independence city, Kentucky","28,688","28,783","29,092","29,317","29,503"
1347,"Rockledge city, Florida","27,685","27,706","28,344","28,488","29,452"
1348,"Hobart city, Indiana","29,740","29,717","29,591","29,459","29,408"
1349,"Laurel city, Maryland","30,068","29,983","29,555","29,353","29,400"
1350,"Burton city, Michigan","29,708","29,665","29,564","29,446","29,376"
1351,"Northampton city, Massachusetts","29,573","27,324","29,538","29,419","29,370"
1352,"Melrose city, Massachusetts","29,819","29,735","29,409","29,313","29,357"
1353,"Russellville city, Arkansas","28,937","28,954","29,020","29,110","29,338"
1354,"Crestview city, Florida","27,464","27,569","27,866","28,275","29,300"
1355,"Texarkana city, Arkansas","29,387","29,375","29,238","29,347","29,223"
1356,"Kirkwood city, Missouri","29,465","29,452","29,386","29,289","29,174"
1357,"West Melbourne city, Florida","25,935","26,578","27,906","28,836","29,144"
1358,"Galesburg city, Illinois","30,045","29,944","29,647","29,249","29,130"
1359,"Monterey city, California","30,228","30,111","29,909","29,511","29,116"
1360,"Raytown city, Missouri","30,007","29,955","29,625","29,301","29,097"
1361,"Jacksonville city, Arkansas","29,487","29,507","29,255","29,134","29,094"
1362,"Chaska city, Minnesota","27,812","27,879","28,096","28,284","29,034"
1363,"Woodburn city, Oregon","26,004","25,979","26,092","27,294","29,033"
1364,"Parkersburg city, West Virginia","29,741","29,664","29,457","29,208","29,025"
1365,"Oak Park city, Michigan","29,573","29,523","29,375","29,164","29,023"
1366,"Southgate city, Michigan","30,017","29,920","29,603","29,299","29,002"
1367,"Fredericksburg city, Virginia","27,973","27,991","28,437","28,648","28,928"
1368,"Garfield Heights city, Ohio","29,790","29,727","29,408","29,078","28,900"
1369,"San Carlos city, California","30,725","30,638","29,622","29,098","28,862"
1370,"Bridgewater Town city, Massachusetts","28,624","28,510","28,884","28,789","28,818"
1371,"Suisun City city, California","29,517","29,478","29,261","28,939","28,743"
1372,"Twentynine Palms city, California","28,067","28,067","29,141","29,895","28,734"
1373,"Jeffersontown city, Kentucky","29,233","29,180","29,043","28,906","28,716"
1374,"Lake in the Hills village, Illinois","28,986","28,927","28,976","28,686","28,661"
1375,"Alvin city, Texas","27,071","27,153","27,562","28,209","28,633"
1376,"Ramsey city, Minnesota","27,640","27,816","28,215","28,350","28,560"
1377,"Saratoga Springs city, New York","28,503","28,540","28,706","28,584","28,544"
1378,"Shaker Heights city, Ohio","29,443","29,376","29,048","28,720","28,541"
1379,"Slidell city, Louisiana","28,754","28,694","28,797","28,636","28,510"
1380,"Fountain city, Colorado","29,810","29,894","29,714","28,924","28,489"
1381,"Maple Valley city, Washington","28,011","28,085","28,189","28,214","28,434"
1382,"West Springfield Town city, Massachusetts","28,832","28,768","28,663","28,479","28,424"
1383,"Marysville city, Ohio","25,585","25,706","26,589","27,144","28,423"
1384,"Happy Valley city, Oregon","23,743","24,041","25,689","26,438","28,409"
1385,"Agawam Town city, Massachusetts","28,695","28,626","28,440","28,373","28,406"
1386,"Port Huron city, Michigan","28,975","28,928","28,794","28,523","28,383"
1387,"Glen Ellyn village, Illinois","28,925","28,869","28,648","28,418","28,347"
1388,"Frankfort city, Kentucky","28,608","28,611","28,562","28,359","28,285"
1389,"Eagle Pass city, Texas","28,155","28,160","28,136","28,174","28,282"
1390,"Bergenfield borough, New Jersey","28,334","28,304","28,242","28,199","28,274"
1391,"Huntley village, Illinois","27,745","27,766","28,008","28,124","28,269"
1392,"McHenry city, Illinois","27,316","27,340","27,602","28,234","28,251"
1393,"Madison Heights city, Michigan","28,462","28,389","28,279","28,365","28,238"
1394,"Newburgh city, New York","28,862","28,772","28,825","28,521","28,237"
1395,"Oakdale city, Minnesota","28,297","28,268","28,025","27,815","28,226"
1396,"East Palo Alto city, California","30,040","29,948","28,913","28,400","28,216"
1397,"Danville city, Illinois","29,207","29,130","28,801","28,383","28,206"
1398,"Burbank city, Illinois","29,448","29,337","28,821","28,369","28,164"
1399,"Venice city, Florida","25,465","25,597","26,283","27,284","28,150"
1400,"Pearl city, Mississippi","27,106","27,133","27,341","27,671","28,117"
1401,"Aberdeen city, South Dakota","28,491","28,432","28,314","28,157","28,110"
1402,"Marion city, Indiana","28,319","28,251","28,119","28,017","28,105"
1403,"Ridgecrest city, California","27,959","28,022","28,247","28,244","28,088"
1404,"Kuna city, Idaho","24,048","24,484","26,621","27,224","28,050"
1405,"New Lenox village, Illinois","27,222","27,258","27,518","27,615","28,047"
1406,"Prior Lake city, Minnesota","27,612","27,628","28,139","28,138","28,027"
1406,"Princeton city, Texas","17,033","17,537","20,107","22,919","28,027"
1408,"Kernersville town, North Carolina","26,503","26,557","26,870","27,801","28,016"
1409,"Mauldin city, South Carolina","24,746","24,776","25,681","26,909","28,010"
1410,"Madison city, Mississippi","27,751","27,757","27,748","27,819","27,987"
1411,"Conway city, South Carolina","24,981","25,125","25,683","27,414","27,985"
1412,"Monroeville municipality, Pennsylvania","28,644","28,649","28,397","28,250","27,974"
1413,"Jamestown city, New York","28,700","28,667","28,454","28,102","27,965"
1414,"Glen Cove city, New York","28,360","28,218","28,152","28,025","27,879"
1415,"Bristol city, Tennessee","27,132","27,183","27,549","27,722","27,854"
1416,"Brawley city, California","26,520","26,509","26,735","27,161","27,849"
1417,"Union City city, Georgia","26,841","27,064","27,390","27,879","27,832"
1418,"Mint Hill town, North Carolina","26,447","26,528","26,674","27,383","27,815"
1419,"Carrollton city, Georgia","26,828","26,827","26,825","27,354","27,793"
1420,"Lake Jackson city, Texas","28,181","28,146","27,886","27,670","27,768"
1421,"Homewood city, Alabama","26,409","27,394","28,097","27,852","27,758"
1422,"Henderson city, Kentucky","28,207","28,141","27,957","27,690","27,734"
1423,"Mount Pleasant village, Wisconsin","27,726","27,714","27,665","27,613","27,727"
1424,"Asheboro city, North Carolina","27,180","27,222","27,374","27,530","27,726"
1425,"Lansing village, Illinois","29,078","28,962","28,418","27,936","27,713"
1426,"Williston city, North Dakota","29,169","29,317","27,358","26,931","27,706"
1427,"Greenville city, Mississippi","29,691","29,493","28,778","28,025","27,644"
1428,"Winchester city, Virginia","28,124","28,013","28,092","27,861","27,617"
1429,"Fremont city, Nebraska","27,128","27,114","27,329","27,342","27,602"
1430,"Kent city, Ohio","28,206","28,178","24,785","27,147","27,601"
1431,"Rosemount city, Minnesota","25,650","25,786","26,644","27,070","27,590"
1432,"Maryland Heights city, Missouri","28,301","28,257","28,056","27,783","27,575"
1433,"Marshalltown city, Iowa","27,584","27,569","27,446","27,396","27,574"
1434,"Lemon Grove city, California","27,631","27,602","27,388","27,353","27,569"
1435,"New London city, Connecticut","27,374","26,718","27,328","27,566","27,560"
1436,"Jenks city, Oklahoma","25,950","26,077","26,632","27,131","27,553"
1437,"Allen Park city, Michigan","28,650","28,557","28,237","27,826","27,528"
1438,"Dodge City city, Kansas","27,793","27,735","27,699","27,481","27,514"
1439,"Simpsonville city, South Carolina","23,383","23,601","24,724","26,725","27,506"
1440,"Anna city, Texas","16,891","17,370","20,222","23,528","27,501"
1441,"Williamsport city, Pennsylvania","27,761","27,737","27,519","27,507","27,470"
1442,"Neenah city, Wisconsin","27,330","27,373","27,577","27,361","27,453"
1443,"Thomasville city, North Carolina","27,169","27,168","27,250","27,325","27,435"
1444,"Tualatin city, Oregon","27,940","27,884","27,599","27,784","27,383"
1445,"Garden City city, Kansas","28,145","28,026","27,845","27,509","27,371"
1446,"Millville city, New Jersey","27,494","27,413","27,367","27,301","27,358"
1447,"Elk River city, Minnesota","25,841","25,941","26,268","26,750","27,342"
1448,"Hamtramck city, Michigan","28,433","28,339","28,024","27,617","27,339"
1449,"Green city, Ohio","27,484","27,455","27,377","27,266","27,338"
1450,"Gladstone city, Missouri","27,068","27,109","27,062","26,898","27,329"
1451,"Camas city, Washington","26,073","26,461","27,095","27,360","27,254"
1452,"Tumwater city, Washington","26,040","26,140","26,820","26,856","27,239"
1453,"Cabot city, Arkansas","26,567","26,557","26,665","26,830","27,190"
1454,"Palm Springs village, Florida","26,876","26,888","26,749","26,859","27,132"
1455,"Walnut city, California","28,437","28,348","27,770","27,354","27,104"
1456,"New Iberia city, Louisiana","28,519","28,402","27,999","27,480","27,080"
1457,"Wooster city, Ohio","27,246","27,236","26,568","27,046","27,030"
1458,"Wilmette village, Illinois","28,173","28,075","27,633","27,204","27,026"
1459,"Oxford city, Mississippi","25,424","25,503","26,035","26,490","27,008"
1460,"Temple Terrace city, Florida","26,704","26,708","27,148","27,221","26,972"
1460,"Lindenhurst village, New York","27,146","27,091","27,186","27,104","26,972"
1462,"Wasco city, California","27,050","25,376","26,222","27,088","26,917"
1463,"Granite City city, Illinois","27,566","27,516","27,328","27,091","26,908"
1464,"Mason City city, Iowa","27,340","27,269","27,165","26,911","26,906"
1465,"Troy city, Ohio","26,329","26,375","26,488","26,683","26,848"
1466,"Sebastian city, Florida","25,037","25,126","25,689","26,345","26,846"
1467,"South Portland city, Maine","26,497","26,575","27,077","27,019","26,840"
1468,"Lemoore city, California","27,062","27,121","27,312","27,067","26,809"
1469,"Forest Grove city, Oregon","26,217","26,231","26,233","26,775","26,799"
1470,"Round Lake Beach village, Illinois","27,260","27,204","27,099","26,913","26,783"
1471,"Trussville city, Alabama","26,119","26,196","26,348","26,499","26,770"
1472,"Bridgeton city, New Jersey","27,273","27,160","26,713","26,407","26,763"
1473,"Paducah city, Kentucky","27,124","27,127","26,902","26,793","26,749"
1474,"Balch Springs city, Texas","27,704","27,622","27,153","26,899","26,711"
1475,"Edwardsville city, Illinois","26,833","26,803","26,711","26,635","26,698"
1475,"Clinton city, Mississippi","28,102","27,977","27,455","26,973","26,698"
1477,"Vernon Hills village, Illinois","26,857","26,823","26,799","26,788","26,677"
1478,"West Linn city, Oregon","27,372","27,384","27,185","26,932","26,629"
1479,"Belmont city, California","28,329","28,258","27,337","26,834","26,622"
1480,"Hercules city, California","26,020","26,117","26,178","26,174","26,582"
1481,"Ossining village, New York","27,541","27,355","26,935","26,832","26,542"
1482,"Lockport city, Illinois","26,094","26,149","26,149","26,105","26,537"
1483,"Owatonna city, Minnesota","26,430","26,418","26,444","26,495","26,534"
1484,"Horn Lake city, Mississippi","26,736","26,742","26,765","26,475","26,468"
1485,"Benicia city, California","27,135","27,106","26,916","26,617","26,429"
1486,"Superior city, Wisconsin","26,750","26,767","26,417","26,505","26,423"
1487,"Plum borough, Pennsylvania","27,164","27,142","26,942","26,651","26,391"
1488,"Yukon city, Oklahoma","23,638","23,793","24,699","25,572","26,388"
1489,"Moscow city, Idaho","25,452","25,515","25,938","26,213","26,387"
1490,"Easley city, South Carolina","22,965","23,035","23,352","24,461","26,386"
1491,"Lebanon city, Pennsylvania","26,820","26,794","26,657","26,451","26,378"
1492,"Shoreview city, Minnesota","26,932","26,920","26,686","26,620","26,374"
1493,"Katy city, Texas","21,882","22,441","23,798","25,286","26,360"
1494,"Wilsonville city, Oregon","26,662","26,717","26,665","26,591","26,345"
1495,"Sanger city, California","26,622","26,640","26,622","26,451","26,343"
1495,"Denison city, Texas","24,460","24,542","25,153","26,363","26,343"
1497,"Garden City city, Michigan","27,389","27,298","26,996","26,608","26,325"
1498,"Moses Lake city, Washington","25,270","25,348","25,656","26,004","26,299"
1499,"Paramus borough, New Jersey","26,692","26,605","26,487","26,343","26,282"
1500,"Batavia city, Illinois","26,311","26,316","26,347","26,219","26,235"
1501,"Derby city, Kansas","25,661","25,712","25,777","25,931","26,233"
1502,"Wheeling city, West Virginia","27,071","26,996","26,671","26,422","26,208"
1503,"Oak Forest city, Illinois","27,467","27,361","26,851","26,404","26,199"
1504,"Ridgewood village, New Jersey","25,982","25,905","26,243","26,149","26,194"
1505,"Chicago Heights city, Illinois","27,476","27,364","26,850","26,401","26,184"
1506,"Elmira city, New York","26,515","26,316","26,426","26,136","26,176"
1507,"Austin city, Minnesota","26,177","26,204","26,290","26,147","26,171"
1508,"Norfolk city, Nebraska","25,911","25,889","25,945","25,962","26,147"
1509,"South Salt Lake city, Utah","26,768","26,713","26,029","25,996","26,122"
1510,"Newberg city, Oregon","25,452","25,484","25,545","25,803","26,095"
1511,"Winona city, Minnesota","25,997","25,981","26,010","25,832","26,029"
1512,"Auburn city, New York","26,870","26,855","26,481","26,109","25,983"
1513,"Reedley city, California","25,225","25,243","25,277","25,529","25,958"
1514,"Avon Lake city, Ohio","25,203","25,279","25,542","25,600","25,942"
1515,"Chanhassen city, Minnesota","25,951","25,982","26,079","26,241","25,937"
1516,"Greenfield city, Indiana","23,481","23,570","24,163","24,795","25,920"
1517,"Staunton city, Virginia","25,753","25,812","25,689","25,940","25,915"
1518,"Franklin city, Indiana","25,326","25,374","25,649","25,715","25,908"
1519,"North Augusta city, South Carolina","24,430","24,487","24,818","25,272","25,891"
1520,"Sugar Hill city, Georgia","25,066","25,125","25,280","25,424","25,889"
1520,"Medina city, Ohio","26,085","26,076","26,094","26,035","25,889"
1522,"Tarpon Springs city, Florida","25,135","25,146","25,609","25,871","25,872"
1523,"Dinuba city, California","24,612","24,794","25,346","25,578","25,863"
1524,"Lodi borough, New Jersey","26,200","26,122","26,002","25,787","25,832"
1525,"East Chicago city, Indiana","26,379","26,342","26,200","25,971","25,830"
1526,"Windsor town, California","26,359","26,340","26,260","26,005","25,828"
1527,"Farmington city, Utah","24,534","24,577","24,582","25,653","25,771"
1528,"Galt city, California","25,637","25,652","25,669","25,626","25,767"
1529,"Centerville city, Ohio","24,249","24,237","24,739","25,129","25,754"
1530,"Stevens Point city, Wisconsin","25,676","25,696","24,714","25,696","25,752"
1531,"Colleyville city, Texas","26,051","26,057","25,993","25,859","25,736"
1532,"Eureka city, California","26,563","26,496","26,367","26,109","25,734"
1533,"Xenia city, Ohio","25,418","25,442","25,508","25,592","25,725"
1534,"Brandon city, Mississippi","25,137","25,168","25,405","25,514","25,719"
1535,"Woodstock city, Illinois","25,629","25,605","25,760","25,646","25,699"
1536,"Corsicana city, Texas","25,120","25,147","25,534","25,597","25,671"
1537,"South Pasadena city, California","26,941","26,845","26,269","25,860","25,623"
1538,"Salem city, Virginia","25,347","25,403","25,416","25,700","25,600"
1539,"Auburn Hills city, Michigan","24,368","24,376","24,783","25,517","25,597"
1540,"Farragut town, Tennessee","23,506","23,579","24,384","24,810","25,579"
1541,"Rockville Centre village, New York","26,009","25,898","25,857","25,686","25,578"
1542,"Cliffside Park borough, New Jersey","25,692","25,634","25,630","25,502","25,570"
1543,"El Cerrito city, California","25,955","25,941","25,899","25,724","25,552"
1544,"Belton city, Missouri","23,979","24,036","24,254","25,404","25,534"
1545,"Mequon city, Wisconsin","25,148","25,201","25,291","25,339","25,489"
1546,"Imperial Beach city, California","26,131","26,102","25,907","25,675","25,458"
