Rank,Geographic Area,"April 1, 2020Estimates Base",2020,2021,2022,Population 2023
198,"Victorville city, California","134,804","134,638","136,078","137,430","138,869"
199,"Midland city, Texas","132,528","132,890","131,543","134,457","138,397"
200,"Orange city, California","139,904","139,451","137,838","138,003","138,337"
201,"Miramar city, Florida","134,710","134,516","135,367","137,192","138,319"
202,"Hampton city, Virginia","137,157","137,280","137,760","137,858","137,098"
203,"Warren city, Michigan","139,397","139,122","138,336","137,125","136,655"
204,"Stamford city, Connecticut","135,451","135,462","136,604","136,084","136,226"
205,"Cedar Rapids city, Iowa","137,728","137,758","136,874","136,392","135,958"
206,"Elizabeth city, New Jersey","137,312","136,677","135,520","135,045","135,829"
207,"Palm Bay city, Florida","119,752","120,163","122,975","129,173","135,566"
208,"Dayton city, Ohio","137,625","137,496","136,839","135,828","135,512"
209,"New Haven city, Connecticut","134,026","129,757","134,554","134,932","135,319"
210,"Coral Springs city, Florida","134,396","134,168","133,130","133,357","134,906"
211,"Meridian city, Idaho","117,745","119,443","125,817","129,707","134,801"
212,"West Valley City city, Utah","140,238","139,973","139,052","136,595","134,470"
213,"Pasadena city, California","138,723","138,462","136,290","134,492","133,560"
214,"Lewisville city, Texas","125,676","126,422","127,219","131,276","133,553"
215,"Kent city, Washington","136,610","136,592","135,235","134,429","133,378"
216,"Sterling Heights city, Michigan","134,338","134,059","133,303","132,476","133,306"
217,"Fargo city, North Dakota","125,952","125,986","129,575","131,444","133,188"
218,"Carrollton city, Texas","133,435","133,552","133,548","133,784","132,918"
219,"Santa Clara city, California","127,862","128,588","128,496","128,859","131,062"
220,"Round Rock city, Texas","119,510","120,549","124,106","126,927","130,406"
221,"Norman city, Oklahoma","127,987","128,161","129,065","129,579","130,046"
222,"Columbia city, Missouri","126,044","126,307","127,394","128,392","129,330"
223,"Abilene city, Texas","125,180","125,417","126,148","127,445","129,043"
224,"Athens-Clarke County unified government (balance), Georgia","127,362","127,245","127,895","128,414","128,628"
225,"Pearland city, Texas","125,813","125,996","126,020","127,061","127,736"
226,"Clovis city, California","120,154","120,770","123,337","124,873","125,826"
227,"Topeka city, Kansas","126,610","126,437","126,160","125,499","125,475"
228,"College Station city, Texas","120,524","120,771","122,668","124,280","125,192"
229,"Simi Valley city, California","126,367","126,343","125,807","124,849","125,113"
230,"Allentown city, Pennsylvania","125,855","125,727","125,812","125,088","124,880"
231,"West Palm Beach city, Florida","117,322","117,507","117,915","121,200","124,130"
232,"Thousand Oaks city, California","126,967","126,824","126,118","124,529","123,463"
233,"Vallejo city, California","126,085","125,894","124,777","123,686","122,807"
234,"Wilmington city, North Carolina","115,460","115,770","117,837","121,120","122,698"
235,"Rochester city, Minnesota","121,392","121,575","121,839","121,896","122,413"
236,"Concord city, California","125,416","125,286","124,452","123,112","122,315"
237,"Lakeland city, Florida","112,629","113,888","117,305","120,274","122,264"
238,"North Charleston city, South Carolina","114,824","115,551","117,573","118,598","121,469"
239,"Lafayette city, Louisiana","121,400","121,455","121,482","121,343","121,467"
240,"Arvada city, Colorado","124,343","124,343","123,484","121,430","121,414"
241,"Independence city, Missouri","122,923","122,899","122,185","121,079","120,922"
242,"Billings city, Montana","117,150","117,224","117,737","119,976","120,864"
243,"Fairfield city, California","119,874","119,833","119,957","119,957","120,768"
244,"Hartford city, Connecticut","121,019","119,798","120,034","119,851","119,669"
245,"Ann Arbor city, Michigan","123,875","123,611","119,060","119,924","119,381"
246,"Broken Arrow city, Oklahoma","113,553","113,928","116,370","117,867","119,194"
247,"Berkeley city, California","124,326","124,205","114,647","118,715","118,962"
248,"Cambridge city, Massachusetts","118,395","118,218","117,275","117,420","118,214"
249,"Richardson city, Texas","119,464","119,299","118,114","118,698","117,435"
250,"Antioch city, California","115,305","115,379","115,494","115,780","117,096"
251,"High Point city, North Carolina","114,161","114,846","115,140","115,557","116,926"
252,"Clearwater city, Florida","117,428","117,333","117,137","117,005","116,850"
253,"League City city, Texas","114,348","114,657","115,661","115,479","116,320"
254,"Odessa city, Texas","114,451","114,926","112,184","113,029","115,743"
255,"Manchester city, New Hampshire","115,652","115,508","115,122","115,767","115,474"
256,"Evansville city, Indiana","117,292","117,373","116,614","115,644","115,332"
257,"Waterbury city, Connecticut","114,455","113,880","114,563","114,588","114,990"
258,"West Jordan city, Utah","116,963","117,032","116,531","116,597","114,908"
259,"Las Cruces city, New Mexico","111,382","111,698","112,879","113,972","114,892"
260,"Westminster city, Colorado","116,601","116,594","115,057","114,771","114,875"
261,"Lowell city, Massachusetts","115,553","115,462","114,613","114,191","114,296"
262,"Nampa city, Idaho","100,308","101,310","106,496","110,858","114,268"
263,"Richmond city, California","116,324","116,196","115,785","114,944","114,106"
264,"Pompano Beach city, Florida","112,055","111,957","111,504","112,274","113,619"
265,"Carlsbad city, California","114,737","114,924","114,964","114,275","113,495"
266,"Menifee city, California","102,528","103,228","107,130","110,378","113,433"
267,"Provo city, Utah","115,170","115,103","114,945","113,689","113,343"
268,"Elgin city, Illinois","114,810","114,617","114,036","113,131","113,310"
269,"Greeley city, Colorado","108,794","109,272","108,661","109,245","112,609"
270,"Springfield city, Illinois","114,436","114,298","113,733","113,071","112,544"
271,"Beaumont city, Texas","115,136","114,857","113,607","112,280","112,193"
272,"Lansing city, Michigan","112,661","112,566","112,464","112,273","112,115"
273,"Murrieta city, California","110,954","111,146","112,278","112,076","111,878"
274,"Goodyear city, Arizona","96,182","97,838","102,917","107,506","111,805"
275,"Allen city, Texas","104,646","105,548","107,053","111,575","111,620"
276,"Tuscaloosa city, Alabama","99,628","104,217","109,078","110,575","111,338"
